date,open,high,low,close,adj_close,volume
2023-01-01,149.84392075219267,150.97024532843753,149.46680243147154,150.08011696184093,150.08011696184093,4846857
2023-01-02,149.652193663531,151.7236565478026,148.45239986996154,149.8282331743021,149.8282331743021,3112760
2023-01-03,148.83757569142622,150.15863527551076,148.7670609401414,148.95784504131848,148.95784504131848,1252531
2023-01-04,149.22561985973678,150.12351071352435,148.58996760959542,149.0194529200147,149.0194529200147,4289863
2023-01-05,151.2258705434688,149.91180956484968,147.8694983700558,149.2478274851731,149.2478274851731,3561047
2023-01-06,150.13876557741105,150.89270538493824,148.62153789288055,149.2105741573911,149.2105741573911,1137940
2023-01-07,149.27725265961513,148.17389419359372,145.55875028742346,147.474233750312,147.474233750312,1226979
2023-01-08,148.18367320602496,149.501165627394,147.00801669396583,148.2255598007302,148.2255598007302,1703098
2023-01-09,148.49219782139502,149.64763565492075,147.49720171791378,149.01536706785427,149.01536706785427,1059248
2023-01-10,147.89081795036674,151.79418844020978,147.93029209709812,149.82150363231742,149.82150363231742,3884151
2023-01-11,154.54153943515865,152.6779574235984,150.5652200013971,152.55687295426765,152.55687295426765,4364496
2023-01-12,150.98226395624746,154.8440863524398,151.56957225105168,153.0890343640481,153.0890343640481,3599566
2023-01-13,151.00216045310373,152.80355817196494,152.66107116996687,152.72963013471502,152.72963013471502,1334472
2023-01-14,151.99392296758577,154.20897484405572,150.47144620879473,152.36366787895594,152.36366787895594,4231270
2023-01-15,151.95818766725,151.71596010853582,151.45491695841372,151.54508539723653,151.54508539723653,3106356
2023-01-16,152.9870587590734,151.49712129858312,149.76760624087856,150.1875447996151,150.1875447996151,3565923
2023-01-17,149.1849464450369,151.03233907798275,148.5966358723167,149.27915403834712,149.27915403834712,4137289
2023-01-18,151.37997102661535,150.3588709298698,148.21630995131974,150.06183243252875,150.06183243252875,1666497
2023-01-19,150.2001751721515,149.89534734803019,149.78558666213465,149.85744841002315,149.85744841002315,4230830
2023-01-20,149.89524609881323,151.62329477325642,148.68112361813056,150.08300126854394,150.08300126854394,4083993
2023-01-21,145.9482791516048,149.7080049484191,147.43481064592976,148.09819382251194,148.09819382251194,2810544
2023-01-22,148.3974181015054,149.76126936719925,147.38433366452244,148.94883735289292,148.94883735289292,4095696
2023-01-23,152.2018019219239,152.47796417881426,149.98559230934552,150.72040476316891,150.72040476316891,2572122
2023-01-24,150.05616254783948,152.52610020557228,149.42247758328332,150.63533699191527,150.63533699191527,2892404
2023-01-25,149.731323968696,150.903220289715,148.94447780763267,149.90656220813872,149.90656220813872,2566859
2023-01-26,150.3352115202762,151.38598410416176,149.81430052544047,150.324216677244,150.324216677244,4755730
2023-01-27,148.4359898805635,151.5070298905186,148.44310031155362,149.59950652612574,149.59950652612574,4582982
2023-01-28,150.88592411955392,150.14680581964987,148.15476383349178,149.0910385871787,149.0910385871787,4012659
